OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
94,53.00114,0.5127638,1.333e-06,0.1861708,1e-06,0.02096272,0.02930345,0.02677012,0.02141172,0.02630537,0.06315198,0.02457505,0.02557888,0.06288957,0.01522131,0.01042048
95,53.5139,0.5414022,1.417e-06,0.1844785,9.16e-07,0.02121122,0.04859576,0.0308402,0.02373996,0.02667637,0.06298815,0.02850054,0.02656946,0.06415223,0.01509631,0.008551236
96,54.05531,0.5408727,1.667e-06,0.1837819,9.17e-07,0.02151513,0.04865117,0.03090487,0.02375988,0.02624279,0.06311124,0.02828645,0.02642929,0.06274332,0.01505289,0.01039123
97,54.59618,0.5145289,1.25e-06,0.1863259,1.25e-06,0.02126422,0.02926004,0.02789804,0.02150013,0.02688963,0.06310598,0.02472121,0.02612379,0.06594915,0.01440406,0.007084322
98,55.11071,0.5137949,1.25e-06,0.185014,1.084e-06,0.02096138,0.02925587,0.02683096,0.02146488,0.02601438,0.06270199,0.02831929,0.02544738,0.06226407,0.01486531,0.01065307
99,55.6245,0.5153685,1.75e-06,0.1888301,1.417e-06,0.02093147,0.02950354,0.02680054,0.02143305,0.02689038,0.06308782,0.02445929,0.02622579,0.06595973,0.01420648,0.007037156
100,56.13987,0.5129283,1.25e-06,0.187802,9.16e-07,0.02097655,0.02939145,0.02667004,0.02139497,0.02678496,0.06326007,0.02421463,0.02569638,0.06498782,0.01472448,0.007022823
101,56.6528,0.5141756,2e-06,0.187446,9.17e-07,0.02123722,0.02930145,0.02671696,0.02143947,0.02615929,0.06316232,0.02429354,0.02614254,0.06291882,0.01515114,0.0102039
102,57.16697,0.5723899,1.167e-06,0.1878983,1.25e-06,0.02854146,0.07287214,0.03088287,0.0237548,0.02637571,0.06297548,0.02856454,0.02637338,0.06269574,0.01407198,0.007381155
103,57.73936,0.546464,1.5e-06,0.1888773,8.34e-07,0.0214888,0.04871476,0.03091403,0.02376363,0.02585071,0.06290673,0.02847187,0.02572513,0.06404023,0.01524848,0.01045998
104,58.28583,0.5732535,1.333e-06,0.1876645,1.166e-06,0.02855137,0.07288405,0.03090395,0.02372521,0.02659621,0.06296348,0.02825004,0.02657746,0.06270982,0.01404215,0.00838282
105,58.85908,0.5459816,1.167e-06,0.1887286,9.17e-07,0.02117155,0.04860326,0.03090095,0.02387571,0.02631838,0.06292898,0.02861479,0.02659579,0.06491123,0.01512614,0.00820407
106,59.40506,0.5158261,1.75e-06,0.1879062,1.083e-06,0.02117572,0.02930862,0.02676479,0.02148805,0.02677596,0.06331332,0.02447538,0.02641671,0.06606815,0.01510606,0.007024323
107,59.92089,0.5136249,1.333e-06,0.1887237,9.17e-07,0.02095897,0.0292867,0.02676187,0.02146172,0.02611346,0.06315307,0.02467321,0.02557996,0.06563898,0.01419164,0.007079322
108,60.43451,0.5768803,1.834e-06,0.1877151,1e-06,0.02828645,0.07296897,0.03092703,0.02396471,0.02610246,0.0638954,0.02832046,0.02541646,0.06367998,0.01476931,0.01083107
109,61.0114,0.5742134,1.25e-06,0.1860747,9.16e-07,0.02790254,0.07291114,0.0309467,0.02388971,0.02649179,0.06313523,0.02852362,0.02658071,0.06302532,0.01404106,0.01068873
110,61.58561,0.5744654,1.584e-06,0.1856155,9.17e-07,0.02839346,0.07303022,0.0314732,0.02378363,0.02609954,0.06346473,0.02858629,0.02567404,0.06271215,0.01472806,0.01090215
111,62.16007,0.5734446,1.25e-06,0.1869354,1.167e-06,0.02870362,0.07295539,0.03087712,0.02377638,0.02577554,0.06253324,0.02855354,0.02651521,0.06266765,0.01392123,0.0102279
112,62.73352,0.5819653,1.5e-06,0.1939445,9.17e-07,0.02890745,0.0729493,0.0332427,0.02396421,0.02583388,0.06318548,0.0246563,0.02637537,0.06296632,0.01537864,0.01055873
113,63.31548,0.5559185,1.833e-06,0.1931386,9.17e-07,0.02729712,0.04877692,0.03086387,0.0240203,0.02575896,0.0635799,0.02834904,0.02571754,0.06270699,0.01523981,0.01046665
114,63.8714,0.5906752,1.667e-06,0.1923541,9.16e-07,0.02854321,0.07292189,0.03094012,0.02379155,0.02632629,0.06322598,0.04201252,0.02585904,0.06365148,0.0139584,0.007087988
115,64.46208,0.5574467,1.333e-06,0.1908169,1.083e-06,0.02114072,0.04864267,0.03090953,0.02390813,0.02683779,0.06308332,0.04201827,0.02620629,0.06273648,0.01402164,0.007122572
