OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
93,2.51222,0.02349804,1.167e-06,0.01029015,8.33e-07,0.001183165,0.001352664,0.00240408,0.002247913,0.001176415,0.002175829,0.001155832,0.000663665,0.000497916,0.000348416
94,2.535718,0.02984545,1.083e-06,0.009817151,1.25e-06,0.001270248,0.002938328,0.002410746,0.002825746,0.001477997,0.002851496,0.001461164,0.000919248,0.003549911,0.000321083
95,2.565563,0.02640062,1.083e-06,0.009313485,1.167e-06,0.001263498,0.001907164,0.003266244,0.002919162,0.001633414,0.002867829,0.001465581,0.000863998,0.000560666,0.000337333
96,2.591964,0.02571054,1.25e-06,0.009552735,1e-06,0.001163414,0.001415831,0.002416913,0.002268996,0.004016577,0.002212413,0.001178582,0.000671249,0.000488916,0.000322666
97,2.617675,0.02287846,1.167e-06,0.009534818,8.33e-07,0.001181832,0.001354248,0.002427329,0.002331413,0.001191498,0.002191496,0.001170248,0.000672583,0.000498582,0.000322416
98,2.640553,0.02646629,1e-06,0.01040857,9.16e-07,0.001179082,0.001353914,0.002411163,0.00226258,0.004007993,0.002188413,0.001172248,0.000668249,0.000489416,0.000322749
99,2.667019,0.02307663,1.417e-06,0.009552401,1.084e-06,0.001303414,0.001400081,0.00241108,0.002322579,0.001197665,0.00219083,0.001180248,0.000668665,0.000524166,0.000323
100,2.690096,0.02590904,1.083e-06,0.009690568,8.33e-07,0.001332081,0.001351832,0.002404246,0.002249663,0.00400741,0.002193746,0.001174332,0.000681415,0.000497249,0.000324583
101,2.716005,0.02301655,1e-06,0.009592068,1e-06,0.001158331,0.001415998,0.002408079,0.002362413,0.001194081,0.002213913,0.001175582,0.000670832,0.000501916,0.000321333
102,2.739022,0.02327405,1.25e-06,0.009799318,9.16e-07,0.001304748,0.001392081,0.002401246,0.002316163,0.001193832,0.002183246,0.001170998,0.000668583,0.000518665,0.000323
103,2.762296,0.02634312,1.25e-06,0.01028332,1.167e-06,0.001188914,0.001349998,0.002403913,0.002241246,0.004004744,0.00217983,0.001184164,0.000665916,0.000500582,0.000338083
104,2.788639,0.0288712,1.25e-06,0.009512401,1.167e-06,0.001314331,0.005541657,0.00246733,0.002260246,0.001683081,0.002869078,0.001464748,0.000861248,0.00056925,0.000325416
105,2.81751,0.02597029,1.583e-06,0.008692986,1.333e-06,0.001554248,0.00192383,0.003282661,0.002961329,0.001492581,0.002859495,0.001459498,0.000864165,0.000558832,0.00031775
106,2.84348,0.02278855,1.25e-06,0.009541068,8.34e-07,0.001159831,0.001413498,0.002409829,0.002277663,0.001179998,0.002162247,0.001151414,0.000661416,0.000507249,0.00032225
107,2.866269,0.0229243,1.167e-06,0.009634234,1.084e-06,0.001188248,0.001386997,0.002413496,0.002284913,0.001183165,0.002173413,0.001165998,0.000660666,0.000490249,0.000340666
108,2.889193,0.02529121,1.083e-06,0.01113657,1.075e-05,0.001216498,0.001345831,0.003218578,0.002295663,0.001189415,0.002194079,0.001167832,0.000671332,0.000503249,0.000340333
109,2.914484,0.02313505,1.084e-06,0.009661901,8.33e-07,0.001280498,0.001396914,0.002431913,0.00228833,0.001199164,0.002199747,0.001171581,0.000678582,0.000497666,0.000326833
110,2.937619,0.02316513,1.334e-06,0.009706317,9.17e-07,0.001299498,0.001398498,0.002428329,0.002278913,0.001190248,0.002187246,0.001173165,0.000671166,0.000505499,0.000323999
111,2.960785,0.0229963,1.167e-06,0.009493318,9.16e-07,0.001172582,0.001421497,0.002451163,0.002380746,0.001193832,0.002185163,0.001182581,0.000670082,0.000506083,0.000337166
112,2.983781,0.02606721,1.167e-06,0.009702734,8.34e-07,0.001247914,0.001396081,0.005379992,0.002279913,0.001189498,0.002188746,0.001193831,0.000669333,0.000491166,0.000325999
