OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
94,32.68632,0.3302513,1.333e-06,0.1452516,9.17e-07,0.00736424,0.01690106,0.03768336,0.01201873,0.01567323,0.02792479,0.01316306,0.01118757,0.0211808,0.02041214,0.001488415
95,33.01657,0.3121727,1.417e-06,0.1438961,9.17e-07,0.007793322,0.01045724,0.02275238,0.01814714,0.01428015,0.02725488,0.01378773,0.01062965,0.02116772,0.01999214,0.002011997
96,33.32874,0.3308622,1.833e-06,0.148015,8.34e-07,0.00720624,0.01047465,0.03042787,0.02763371,0.0154064,0.02902971,0.01081007,0.008782821,0.02177689,0.01980206,0.001494081
97,33.65961,0.3473015,2.667e-06,0.156206,8.33e-07,0.00750099,0.01640331,0.03921186,0.02017789,0.01428373,0.02453822,0.01445481,0.01082232,0.02138039,0.01989306,0.002425413
98,34.00691,0.3113871,1.417e-06,0.1457705,8.33e-07,0.007402574,0.01036532,0.02310597,0.01823331,0.0137969,0.02522663,0.01432481,0.01045807,0.02111447,0.02008797,0.001498247
99,34.3183,0.3578087,2.166e-06,0.154808,1e-06,0.00727449,0.007925572,0.0366517,0.02839479,0.02759521,0.02794688,0.01289473,0.01045323,0.0212898,0.02028956,0.002281496
100,34.6761,0.3690239,1.334e-06,0.1459016,1.167e-06,0.009611903,0.02512405,0.04670369,0.0338442,0.01406148,0.0278063,0.01240407,0.0106769,0.02118672,0.02020222,0.001498248
101,35.04513,0.3500586,2.584e-06,0.157747,8.33e-07,0.007228907,0.007873572,0.0360177,0.02843413,0.01510464,0.03192912,0.01397781,0.008560988,0.02167047,0.02002356,0.001487248
102,35.39519,0.3141953,1.584e-06,0.1463035,8.33e-07,0.007417073,0.01048707,0.02252655,0.01779514,0.01394248,0.02763029,0.0146159,0.01085698,0.02106655,0.02005414,0.001497248
103,35.70938,0.3468801,2.25e-06,0.1572556,8.33e-07,0.00739074,0.01654198,0.03746087,0.02019631,0.01507798,0.02583355,0.01283232,0.01120348,0.02142464,0.02017106,0.001488498
104,36.05626,0.3120171,1.417e-06,0.1448786,8.33e-07,0.007463407,0.01044324,0.02341655,0.01897481,0.01518881,0.0237573,0.01446331,0.0108924,0.02106447,0.01997422,0.001497665
105,36.36828,0.3365178,2.334e-06,0.1563875,1.083e-06,0.00736799,0.01694723,0.03711636,0.0122124,0.01391273,0.02561596,0.01292765,0.01068848,0.0214718,0.02038164,0.001484665
106,36.7048,0.3140936,1.334e-06,0.1470057,1.167e-06,0.00970782,0.02524705,0.01289706,0.0122564,0.01442873,0.02452563,0.0132274,0.01072707,0.02119405,0.0213858,0.001488331
107,37.01889,0.3151771,1.25e-06,0.1438888,8.33e-07,0.00956832,0.0252348,0.01358106,0.0122549,0.01694839,0.02598438,0.01350965,0.01129807,0.02130355,0.02013331,0.001469831
108,37.33407,0.3793015,1.333e-06,0.1458306,8.33e-07,0.007275407,0.01681764,0.04650619,0.02830729,0.01397315,0.02514822,0.02769263,0.01435398,0.03181621,0.02008014,0.001497831
109,37.71337,0.3267977,2.25e-06,0.1528658,8.34e-07,0.009631986,0.02543188,0.01609498,0.01305515,0.01809656,0.02839313,0.01172657,0.008413072,0.02182047,0.01971006,0.001554997
110,38.04017,0.2881119,1.167e-06,0.1450579,9.16e-07,0.00735774,0.01023407,0.01631989,0.008933405,0.01243407,0.02524988,0.0104844,0.008442321,0.0221693,0.01985581,0.001570998
111,38.32828,0.3500824,1.333e-06,0.1445308,9.16e-07,0.007451157,0.01732531,0.03149071,0.01853989,0.01852856,0.03242187,0.0275378,0.009000654,0.02197072,0.01969206,0.001590665
112,38.67836,0.312974,1.333e-06,0.146905,9.17e-07,0.009664569,0.02514763,0.01301115,0.0119154,0.01433506,0.02512022,0.0126574,0.0104399,0.02127597,0.02020547,0.002293913
113,38.99134,0.3604588,1.417e-06,0.1454672,1e-06,0.007590656,0.01690256,0.05858442,0.02177197,0.01660573,0.02539163,0.01422173,0.01059907,0.0216583,0.02016214,0.001500914
114,39.35179,0.3708562,1.417e-06,0.1451017,1e-06,0.009639986,0.0250813,0.04881335,0.03419045,0.01423015,0.02710563,0.01246932,0.01122515,0.02123789,0.02016747,0.001591331
115,39.72265,0.3449775,2.416e-06,0.1556678,9.17e-07,0.007405406,0.01717264,0.03746911,0.01214565,0.01932314,0.02910646,0.01300023,0.01061615,0.02116122,0.02041914,0.001487248
116,40.06763,0.3579878,1.667e-06,0.1461206,9.17e-07,0.00736974,0.009905486,0.02895529,0.0223688,0.01441315,0.02498605,0.02832904,0.02300722,0.03004479,0.02098839,0.001496665
117,40.42562,0.3093556,1.583e-06,0.146473,8.34e-07,0.00956757,0.0252133,0.01251048,0.01070507,0.01364957,0.02504372,0.01235032,0.0108344,0.02117605,0.02035022,0.001479498
118,40.73497,0.3975289,1.417e-06,0.1468807,1e-06,0.009546987,0.02520413,0.04700885,0.0333002,0.0139064,0.02720455,0.02425097,0.01680364,0.03185162,0.02006697,0.001501415
119,41.1325,0.3246341,2.667e-06,0.1605589,8.33e-07,0.009541653,0.02515022,0.01275423,0.01131307,0.01460398,0.02472255,0.01235848,0.01089982,0.02103305,0.02020939,0.001485248
120,41.45713,0.3711974,1.417e-06,0.1466299,9.17e-07,0.00957182,0.02511413,0.04700844,0.03556412,0.01442498,0.02662605,0.0123724,0.0110069,0.02119039,0.0201903,0.001495665
