OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
166,52.51204,0.3201346,2.167e-06,0.1527119,0.01930431,0.06199083,0.01509373,0.01779056,0.01471831,0.01775214,0.01929814,0.001472582
167,52.83217,0.3088851,1.667e-06,0.1428405,0.01775298,0.06225466,0.01498765,0.01784414,0.01468206,0.01779198,0.01923497,0.001494498
168,53.14106,0.3148041,1.666e-06,0.1467015,0.02013431,0.0618415,0.01500714,0.01804306,0.0144724,0.01771881,0.01939706,0.001486748
169,53.45586,0.3199286,2.083e-06,0.1524091,0.01987455,0.06197983,0.01496598,0.01772923,0.01445773,0.01772447,0.01929647,0.001489165
170,53.77579,0.3336488,2.667e-06,0.165711,0.01924622,0.06198483,0.01545164,0.01779606,0.01494814,0.01771914,0.01929481,0.001494248
171,54.10944,0.3185829,2.25e-06,0.152578,0.01774448,0.06219758,0.0150114,0.01783914,0.01467306,0.01780397,0.01923822,0.001494748
172,54.42802,0.3184542,2.083e-06,0.1529283,0.01713239,0.06219875,0.0153564,0.01775831,0.01445856,0.01772231,0.01942072,0.001476414
173,54.74647,0.3083484,1.416e-06,0.1425737,0.01806056,0.06204008,0.01496556,0.01780031,0.01438215,0.01778831,0.01923364,0.001502665
174,55.05482,0.3105799,1.333e-06,0.1426479,0.02025989,0.06198416,0.0149419,0.01779639,0.01438923,0.01778914,0.01927439,0.001495581
175,55.3654,0.3080152,1.583e-06,0.1430396,0.01771906,0.06154241,0.01501931,0.01772697,0.01439698,0.01778164,0.01924189,0.001545832
176,55.67342,0.3067491,2.167e-06,0.1424898,0.01691606,0.06171408,0.01493748,0.01779823,0.01436981,0.01778956,0.01923514,0.001496748
177,55.98017,0.3090389,1.333e-06,0.1432105,0.01780123,0.06188108,0.01543564,0.01779464,0.01438723,0.01778773,0.01923764,0.001501831
